id;input_adr;low_adr;upp_adr;cap_adr
233;42 rue de la liberté;42 rue de la liberté;42 RUE DE LA LIBERTÉ;42 Rue de la Liberté
234;29 rue de verdun;29 rue de verdun;29 RUE DE VERDUN;29 Rue de Verdun
235;7 avenue sisley;7 avenue sisley;7 AVENUE SISLEY;7 Avenue Sisley
236;5 allée edgard fournier;5 allée edgar fournier;5 ALLÉE EDGAR FOURNIER;5 Allée Edgar Fournier
237;5 rue du fécheray;5 rue du fécheray;5 RUE DU FÉCHERAY;5 Rue du Fécheray
238;4 rue beauséjour;4 rue beauséjour;4 RUE BEAUSÉJOUR;4 Rue Beauséjour
239;45 rue des bourets;45 rue des bourets;45 RUE DES BOURETS;45 Rue des Bourets
240;5 villa de la station;5 villa de la station;5 VILLA DE LA STATION;5 Villa de la Station
241;94 rue des chênes;94 rue des chênes;94 RUE DES CHÊNES;94 Rue des Chênes
242;4 avenue justin godard;4 avenue justin godart;4 AVENUE JUSTIN GODART;4 Avenue Justin Godart
243;25 rue perronet;25 rue perronet;25 RUE PERRONET;25 Rue Perronet
244;10 rue du ratrait;10 rue du ratrait;10 RUE DU RATRAIT;10 Rue du Ratrait
245;24 rue locarno;24 rue de locarno;24 RUE DE LOCARNO;24 Rue de Locarno
246;7 rue du clos des ermites;7 rue du clos des ermites;7 RUE DU CLOS DES ERMITES;7 Rue du Clos des Ermites
247;29 rue de la procession;29 rue de la procession;29 RUE DE LA PROCESSION;29 Rue de la Procession
248;23 avenue jean jaurès;23 avenue jean jaurès;23 AVENUE JEAN JAURÈS;23 Avenue Jean Jaurès
249;14 rue merlin de thionville;14 rue merlin de thionville;14 RUE MERLIN DE THIONVILLE;14 Rue Merlin de Thionville
250;27 rue edouard nieuport;27 rue edouard nieuport;27 RUE EDOUARD NIEUPORT;27 Rue Edouard Nieuport
251;2 avenue justin godart;2 avenue justin godart;2 AVENUE JUSTIN GODART;2 Avenue Justin Godart
252;33 avenue jean jaurès;33 avenue jean jaurès;33 AVENUE JEAN JAURÈS;33 Avenue Jean Jaurès
253;44 rue carnot;44 rue carnot;44 RUE CARNOT;44 Rue Carnot
254;1 boulevard henri sellier;1 boulevard henri sellier;1 BOULEVARD HENRI SELLIER;1 Boulevard Henri Sellier
255;4 rue louis rené nougier;4 rue du professeur louis-rené nougier;4 RUE DU PROFESSEUR LOUIS-RENÉ NOUGIER;4 Rue du Professeur Louis René Nougier
256;71 boulevard maréchal de lattre de tassigny;71 boulevard maréchal de lattre de tassigny;71 BOULEVARD MARÉCHAL DE LATTRE DE TASSIGNY;71 Boulevard Maréchal de Lattre de Tassigny
257;43 rue du pas saint maurice;43 rue du pas saint-maurice;43 RUE DU PAS SAINT-MAURICE;43 Rue du Pas Saint Maurice
258;30 rue du docteur marc bombiger;30 rue du docteur marc bombiger;30 RUE DU DOCTEUR MARC BOMBIGER;30 Rue du Docteur Marc Bombiger
259;3 rue pierre dupont;3 rue pierre dupont;3 RUE PIERRE DUPONT;3 Rue Pierre Dupont
260;12 rue d'estiennes d'orves;12 rue honoré d'estienne d'orves;12 RUE HONORÉ D'ESTIENNE D'ORVES;12 Rue Honoré d'Estienne d'Orves
