"type_voie","determinant","nom","borne_debut","borne_fin","parite","quartier","code_postal","commune","date_mise_a_jour"
"RUE",NULL,"FLORENT DANCOURT",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"AVENUE","DE LA","FONTAINE DU TERTRE",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
NULL,NULL,"FORT DU MONT VALERIEN",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"AVENUE","DE","FOUILLEUSE",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"IMPASSE","DU","FOUR",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE",NULL,"FRANCOIS BOUGAULT",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"AVENUE",NULL,"FRANKLIN ROOSEVELT",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"AVENUE",NULL,"FRANKLIN ROOSEVELT",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"AVENUE",NULL,"FRANKLIN ROOSEVELT",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"RUE",NULL,"FREDERIC CLAVEL",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"ROUTE","DES","FUSILLES DE LA RESISTANCE",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"AVENUE",NULL,"GABRIEL PERI",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE",NULL,"GABRIEL PHILIPPE",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"QUAI",NULL,"GALLIENI",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"QUAI",NULL,"GALLIENI",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE",NULL,"GAMBETTA",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"RUE",NULL,"GARDENAT LAPOSTOL",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"RUE",NULL,"GARDENAT LAPOSTOL",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"PASSAGE","DE LA","GARE DE LONGCHAMP",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"PLACE","DE LA","GARE DE SURESNES LONGCHAMP",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"PAS","DE LA","GARE SURESNES LONGCHAMP",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE",NULL,"GARIBALDI",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"RUE","DE LA","GAUCHERE",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"AVENUE","DU","GENERAL DE GAULLE",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"PLACE","DU","GENERAL LECLERC",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
